dish_name,dish_category,week_number,total_orders,total_qty,total_revenue,avg_rating,rush_day_for_dish
Mushroom Soup,Soups,3,1,1,6.99,,Sunday
Mushroom Soup,Soups,4,1,1,6.99,4.0,Sunday
Mushroom Soup,Soups,5,2,8,50.67,4.5,Sunday
Mushroom Soup,Soups,12,1,1,6.99,4.0,Sunday
Mushroom Soup,Soups,15,1,1,6.99,,Sunday
Mushroom Soup,Soups,20,2,3,18.87,5.0,Sunday
Mushroom Soup,Soups,26,2,5,33.9,5.0,Sunday
Mushroom Soup,Soups,28,1,2,13.98,,Sunday
Mushroom Soup,Soups,36,1,1,5.94,,Sunday
Mushroom Soup,Soups,38,1,1,6.99,3.0,Sunday
Mushroom Soup,Soups,43,1,1,5.94,5.0,Sunday
Mushroom Soup,Soups,45,1,2,13.98,4.0,Sunday
Mushroom Soup,Soups,46,1,1,5.94,5.0,Sunday
Mushroom Soup,Soups,48,1,3,20.97,,Sunday
Mushroom Soup,Soups,51,2,3,20.97,4.0,Sunday
Onion Rings,Sides,2,1,1,4.49,4.0,Sunday
Onion Rings,Sides,3,1,1,3.82,,Sunday
Onion Rings,Sides,7,1,2,8.98,3.0,Sunday
Onion Rings,Sides,9,1,3,13.47,5.0,Sunday
Onion Rings,Sides,11,1,2,8.98,,Sunday
Onion Rings,Sides,12,1,1,3.82,,Sunday
Onion Rings,Sides,14,1,1,4.49,4.0,Sunday
Onion Rings,Sides,16,2,6,26.94,4.0,Sunday
Onion Rings,Sides,17,1,2,8.98,4.0,Sunday
Onion Rings,Sides,21,1,5,19.1,2.0,Sunday
Onion Rings,Sides,26,3,9,39.74,3.5,Sunday
Onion Rings,Sides,27,2,3,12.13,4.0,Sunday
Onion Rings,Sides,28,3,3,13.47,4.0,Sunday
Onion Rings,Sides,31,1,3,13.47,4.0,Sunday
Onion Rings,Sides,34,1,1,3.82,,Sunday
Onion Rings,Sides,37,1,1,4.49,,Sunday
Onion Rings,Sides,38,1,3,13.47,3.0,Sunday
Onion Rings,Sides,39,2,6,26.94,4.0,Sunday
Onion Rings,Sides,41,2,6,26.94,5.0,Sunday
Onion Rings,Sides,42,1,4,17.96,,Sunday
Onion Rings,Sides,43,1,1,4.49,4.0,Sunday
Onion Rings,Sides,46,1,1,4.49,,Sunday
Onion Rings,Sides,47,1,3,13.47,1.0,Sunday
Onion Rings,Sides,49,1,1,4.49,,Sunday
Onion Rings,Sides,52,1,1,4.49,4.0,Sunday
Penne Arrabbiata,Pasta,3,1,2,20.38,4.0,Saturday
Penne Arrabbiata,Pasta,6,1,1,11.99,,Saturday
Penne Arrabbiata,Pasta,7,2,3,35.97,4.0,Saturday
Penne Arrabbiata,Pasta,8,2,2,20.38,5.0,Saturday
Penne Arrabbiata,Pasta,10,2,3,35.97,5.0,Saturday
Penne Arrabbiata,Pasta,15,2,6,71.94,4.0,Saturday
Penne Arrabbiata,Pasta,19,1,1,11.99,,Saturday
Penne Arrabbiata,Pasta,20,1,1,11.99,5.0,Saturday
Penne Arrabbiata,Pasta,22,1,1,11.99,,Saturday
Penne Arrabbiata,Pasta,25,1,1,11.99,,Saturday
Penne Arrabbiata,Pasta,27,1,1,11.99,4.0,Saturday
Penne Arrabbiata,Pasta,28,1,2,23.98,,Saturday
Penne Arrabbiata,Pasta,29,1,1,11.99,4.0,Saturday
Penne Arrabbiata,Pasta,31,1,1,11.99,,Saturday
Penne Arrabbiata,Pasta,35,3,4,47.96,4.5,Saturday
Penne Arrabbiata,Pasta,36,1,3,35.97,4.0,Saturday
Penne Arrabbiata,Pasta,37,1,1,11.99,2.0,Saturday
Penne Arrabbiata,Pasta,40,1,1,11.99,,Saturday
Penne Arrabbiata,Pasta,41,2,3,35.97,4.5,Saturday
Penne Arrabbiata,Pasta,44,1,3,35.97,5.0,Saturday
Penne Arrabbiata,Pasta,45,1,2,23.98,4.0,Saturday
Penne Arrabbiata,Pasta,46,2,3,35.97,4.0,Saturday
Penne Arrabbiata,Pasta,50,1,3,35.97,4.0,Saturday
Penne Arrabbiata,Pasta,51,1,1,11.99,5.0,Saturday
Pepperoni Pizza,Pizza,1,1,1,14.49,4.0,Sunday
Pepperoni Pizza,Pizza,5,2,6,78.26,4.0,Sunday
Pepperoni Pizza,Pizza,6,2,4,57.96,3.5,Sunday
Pepperoni Pizza,Pizza,9,2,6,86.94,,Sunday
Pepperoni Pizza,Pizza,10,1,2,28.98,5.0,Sunday
Pepperoni Pizza,Pizza,11,1,1,14.49,2.0,Sunday
Pepperoni Pizza,Pizza,12,1,3,43.47,,Sunday
Pepperoni Pizza,Pizza,14,1,1,14.49,5.0,Sunday
Pepperoni Pizza,Pizza,15,1,1,12.32,4.0,Sunday
Pepperoni Pizza,Pizza,16,1,4,57.96,4.0,Sunday
Pepperoni Pizza,Pizza,17,1,1,12.32,5.0,Sunday
Pepperoni Pizza,Pizza,19,3,5,72.45,3.33,Sunday
Pepperoni Pizza,Pizza,23,1,2,28.98,1.0,Sunday
Pepperoni Pizza,Pizza,28,1,3,43.47,2.0,Sunday
Pepperoni Pizza,Pizza,29,1,4,57.96,4.0,Sunday
Pepperoni Pizza,Pizza,30,1,4,57.96,5.0,Sunday
Pepperoni Pizza,Pizza,31,1,1,12.32,2.0,Sunday
Pepperoni Pizza,Pizza,32,1,5,72.45,3.0,Sunday
Pepperoni Pizza,Pizza,33,1,1,14.49,3.0,Sunday
Pepperoni Pizza,Pizza,34,1,1,14.49,5.0,Sunday
Pepperoni Pizza,Pizza,35,1,1,14.49,4.0,Sunday
Pepperoni Pizza,Pizza,36,2,6,76.09,4.5,Sunday
Pepperoni Pizza,Pizza,37,1,1,14.49,3.0,Sunday
Pepperoni Pizza,Pizza,40,2,6,73.92,4.5,Sunday
Pepperoni Pizza,Pizza,42,2,6,86.94,4.5,Sunday
Pepperoni Pizza,Pizza,43,2,2,26.81,3.5,Sunday
Pepperoni Pizza,Pizza,44,1,3,36.96,5.0,Sunday
Pepperoni Pizza,Pizza,45,1,2,28.98,,Sunday
Pepperoni Pizza,Pizza,46,5,14,200.69,4.25,Sunday
Pepperoni Pizza,Pizza,47,2,6,86.94,4.0,Sunday
Pepperoni Pizza,Pizza,48,2,5,61.6,5.0,Sunday
Pepperoni Pizza,Pizza,49,1,1,14.49,5.0,Sunday
Pepperoni Pizza,Pizza,50,2,3,43.47,,Sunday
Pepperoni Pizza,Pizza,52,3,9,130.41,4.33,Sunday
Shawarma Wrap,Wraps,1,2,6,59.94,3.0,Sunday
Shawarma Wrap,Wraps,2,1,1,9.99,4.0,Sunday
Shawarma Wrap,Wraps,3,1,1,9.99,5.0,Sunday
Shawarma Wrap,Wraps,4,2,4,39.96,4.0,Sunday
Shawarma Wrap,Wraps,5,2,3,29.97,3.0,Sunday
Shawarma Wrap,Wraps,8,1,5,49.95,,Sunday
Shawarma Wrap,Wraps,9,1,1,8.49,4.0,Sunday
Shawarma Wrap,Wraps,10,1,1,9.99,,Sunday
Shawarma Wrap,Wraps,11,2,4,38.46,4.0,Sunday
Shawarma Wrap,Wraps,12,3,5,49.95,3.5,Sunday
Shawarma Wrap,Wraps,13,1,1,9.99,5.0,Sunday
Shawarma Wrap,Wraps,14,2,3,29.97,,Sunday
Shawarma Wrap,Wraps,15,2,5,49.95,4.0,Sunday
Shawarma Wrap,Wraps,18,1,2,19.98,4.0,Sunday
Shawarma Wrap,Wraps,19,2,3,29.97,4.5,Sunday
Shawarma Wrap,Wraps,20,2,5,45.45,4.0,Sunday
Shawarma Wrap,Wraps,22,2,4,38.46,5.0,Sunday
Shawarma Wrap,Wraps,23,1,3,29.97,5.0,Sunday
Shawarma Wrap,Wraps,24,2,6,59.94,4.5,Sunday
Shawarma Wrap,Wraps,26,2,2,19.98,4.0,Sunday
Shawarma Wrap,Wraps,30,1,2,19.98,5.0,Sunday
Shawarma Wrap,Wraps,31,2,4,39.96,,Sunday
Shawarma Wrap,Wraps,32,2,2,19.98,3.5,Sunday
Shawarma Wrap,Wraps,33,3,10,96.9,4.33,Sunday
Shawarma Wrap,Wraps,36,1,4,39.96,3.0,Sunday
Shawarma Wrap,Wraps,37,1,1,9.99,4.0,Sunday
Shawarma Wrap,Wraps,38,1,1,9.99,,Sunday
Shawarma Wrap,Wraps,39,1,1,9.99,5.0,Sunday
Shawarma Wrap,Wraps,40,2,4,39.96,2.0,Sunday
Shawarma Wrap,Wraps,41,1,1,9.99,2.0,Sunday
Shawarma Wrap,Wraps,42,2,2,19.98,4.5,Sunday
Shawarma Wrap,Wraps,44,2,3,29.97,4.0,Sunday
Shawarma Wrap,Wraps,46,1,1,9.99,,Sunday
Shawarma Wrap,Wraps,47,2,6,58.44,3.0,Sunday
Shawarma Wrap,Wraps,49,4,7,68.43,4.0,Sunday
Shawarma Wrap,Wraps,50,3,7,62.43,3.33,Sunday
Shawarma Wrap,Wraps,51,2,4,39.96,2.0,Sunday
Shawarma Wrap,Wraps,52,1,4,39.96,4.0,Sunday
Spaghetti Carbonara,Pasta,1,3,4,53.96,4.5,Friday
Spaghetti Carbonara,Pasta,2,2,4,53.96,4.0,Friday
Spaghetti Carbonara,Pasta,3,1,1,13.49,3.0,Friday
Spaghetti Carbonara,Pasta,4,5,7,92.41,3.8,Friday
Spaghetti Carbonara,Pasta,5,2,4,53.96,3.0,Friday
Spaghetti Carbonara,Pasta,6,2,2,22.94,4.0,Friday
Spaghetti Carbonara,Pasta,7,1,1,13.49,,Friday
Spaghetti Carbonara,Pasta,9,1,4,53.96,,Friday
Spaghetti Carbonara,Pasta,10,1,1,13.49,1.0,Friday
Spaghetti Carbonara,Pasta,11,1,1,13.49,4.0,Friday
Spaghetti Carbonara,Pasta,12,1,2,26.98,5.0,Friday
Spaghetti Carbonara,Pasta,13,1,2,26.98,4.0,Friday
Spaghetti Carbonara,Pasta,14,1,1,13.49,4.0,Friday
Spaghetti Carbonara,Pasta,16,1,3,34.41,,Friday
Spaghetti Carbonara,Pasta,17,1,4,53.96,3.0,Friday
Spaghetti Carbonara,Pasta,21,2,2,26.98,4.5,Friday
Spaghetti Carbonara,Pasta,22,1,1,13.49,1.0,Friday
Spaghetti Carbonara,Pasta,23,1,2,26.98,4.0,Friday
Spaghetti Carbonara,Pasta,24,1,2,26.98,,Friday
Spaghetti Carbonara,Pasta,25,1,3,40.47,,Friday
Spaghetti Carbonara,Pasta,26,1,4,53.96,,Friday
Spaghetti Carbonara,Pasta,28,1,1,13.49,3.0,Friday
Spaghetti Carbonara,Pasta,29,1,3,40.47,5.0,Friday
Spaghetti Carbonara,Pasta,31,2,4,53.96,4.0,Friday
Spaghetti Carbonara,Pasta,32,1,1,11.47,5.0,Friday
Spaghetti Carbonara,Pasta,37,1,3,40.47,4.0,Friday
Spaghetti Carbonara,Pasta,46,1,2,26.98,2.0,Friday
Spaghetti Carbonara,Pasta,48,1,4,53.96,4.0,Friday
Spaghetti Carbonara,Pasta,49,1,4,53.96,,Friday
Spaghetti Carbonara,Pasta,50,2,6,72.86,4.5,Friday
Spaghetti Carbonara,Pasta,51,1,5,57.35,5.0,Friday
Spaghetti Carbonara,Pasta,52,3,5,67.45,4.0,Friday
Tomato Soup,Soups,1,2,8,51.92,3.5,Saturday
Tomato Soup,Soups,2,2,3,19.47,3.5,Saturday
Tomato Soup,Soups,3,1,3,19.47,4.0,Saturday
Tomato Soup,Soups,4,1,2,12.98,1.0,Saturday
Tomato Soup,Soups,5,1,2,11.04,5.0,Saturday
Tomato Soup,Soups,6,1,2,12.98,3.0,Saturday
Tomato Soup,Soups,21,1,1,6.49,2.0,Saturday
Tomato Soup,Soups,25,1,5,27.6,5.0,Saturday
Tomato Soup,Soups,32,2,3,19.47,4.0,Saturday
Tomato Soup,Soups,35,2,4,25.96,5.0,Saturday
Tomato Soup,Soups,41,1,2,11.04,,Saturday
Tomato Soup,Soups,48,2,5,29.54,1.0,Saturday
Tomato Soup,Soups,49,1,2,12.98,4.0,Saturday
Tomato Soup,Soups,50,1,2,12.98,5.0,Saturday
Veggie Burger,Burgers,1,2,3,28.47,5.0,Saturday
Veggie Burger,Burgers,2,3,9,79.73,4.33,Saturday
Veggie Burger,Burgers,5,2,4,37.96,4.0,Saturday
Veggie Burger,Burgers,6,1,3,28.47,4.0,Saturday
Veggie Burger,Burgers,17,1,4,32.28,4.0,Saturday
Veggie Burger,Burgers,18,2,3,28.47,5.0,Saturday
Veggie Burger,Burgers,20,2,6,55.52,4.5,Saturday
Veggie Burger,Burgers,23,1,3,24.21,4.0,Saturday
Veggie Burger,Burgers,24,1,4,32.28,4.0,Saturday
Veggie Burger,Burgers,25,2,3,24.21,2.5,Saturday
Veggie Burger,Burgers,26,1,1,9.49,4.0,Saturday
Veggie Burger,Burgers,31,2,2,17.56,3.5,Saturday
Veggie Burger,Burgers,33,2,4,32.28,,Saturday
Veggie Burger,Burgers,37,1,1,9.49,4.0,Saturday
Veggie Burger,Burgers,39,2,6,56.94,3.5,Saturday
Veggie Burger,Burgers,41,1,3,24.21,4.0,Saturday
Veggie Burger,Burgers,42,1,1,8.07,1.0,Saturday
Veggie Burger,Burgers,43,1,3,28.47,5.0,Saturday
Veggie Burger,Burgers,46,1,3,28.47,5.0,Saturday
Veggie Burger,Burgers,47,1,3,28.47,5.0,Saturday
Veggie Burger,Burgers,52,3,10,89.22,4.5,Saturday
